issue_type,product,contract_role,symbol_or_contract,period,year,status,evidence_source,recommended_next_task
quality_warning,bb,dominant_main,bb.MAIN,1d,2020,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2021,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2022,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2023,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2024,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2025,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2026,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2020,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2021,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2022,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2023,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2024,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2025,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2026,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,fb,dominant_main,fb.MAIN,1d,2020,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,fb,dominant_main,fb.MAIN,1d,2021,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
quality_warning,fb,dominant_main,fb.MAIN,1d,2022,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit
