product,product_listed_date,rqdata_start
cu,1999-01-04,2000-01-04
al,1999-01-04,2000-01-04
ru,1999-01-04,2000-01-04
m,2000-07-17,2000-07-17
a,2002-03-15,2002-03-15
cf,2004-06-01,2004-06-01
fu,2004-08-25,2004-08-25
c,2004-09-22,2004-09-22
b,2004-12-22,2004-12-22
sr,2006-01-06,2006-01-06
y,2006-01-09,2006-01-09
ta,2006-12-18,2006-12-18
zn,2007-03-26,2007-03-26
l,2007-07-31,2007-07-31
p,2007-10-29,2007-10-29
au,2008-01-09,2008-01-09
wr,2009-03-27,2009-03-27
rb,2009-03-27,2009-03-27
v,2009-05-25,2009-05-25
if,2010-04-16,2010-04-16
pb,2011-03-24,2011-03-24
j,2011-04-15,2011-04-15
pm,2012-01-17,2012-01-17
ag,2012-05-10,2012-05-10
oi,2012-07-16,2012-07-16
ri,2012-07-24,2012-07-24
wh,2012-07-24,2012-07-24
fg,2012-12-03,2012-12-03
rs,2012-12-28,2012-12-28
rm,2012-12-28,2012-12-28
jm,2013-03-22,2013-03-22
tf,2013-09-06,2013-09-06
bu,2013-10-09,2013-10-09
i,2013-10-18,2013-10-18
jd,2013-11-08,2013-11-08
jr,2013-11-18,2013-11-18
fb,2013-12-06,2013-12-06
bb,2013-12-06,2013-12-06
pp,2014-02-28,2014-02-28
hc,2014-03-21,2014-03-21
ma,2014-06-17,2014-06-17
sf,2014-08-08,2014-08-08
sm,2014-08-08,2014-08-08
cs,2014-12-19,2014-12-19
t,2015-03-20,2015-03-20
ni,2015-03-27,2015-03-27
sn,2015-03-27,2015-03-27
ih,2015-04-16,2015-04-16
ic,2015-04-16,2015-04-16
zc,2015-05-18,2015-05-18
cy,2017-08-18,2017-08-18
ap,2017-12-22,2017-12-22
sc,2018-03-26,2018-03-26
ts,2018-08-17,2018-08-17
sp,2018-11-27,2018-11-27
eg,2018-12-10,2018-12-10
cj,2019-04-30,2019-04-30
ur,2019-08-09,2019-08-09
nr,2019-08-12,2019-08-12
rr,2019-08-16,2019-08-16
ss,2019-09-25,2019-09-25
eb,2019-09-26,2019-09-26
sa,2019-12-06,2019-12-06
pg,2020-03-30,2020-03-30
lu,2020-06-22,2020-06-22
pf,2020-10-12,2020-10-12
bc,2020-11-19,2020-11-19
lh,2021-01-08,2021-01-08
pk,2021-02-01,2021-02-01
im,2022-07-22,2022-07-22
si,2022-12-22,2022-12-22
tl,2023-04-21,2023-04-21
ao,2023-06-19,2023-06-19
lc,2023-07-21,2023-07-21
br,2023-07-28,2023-07-28
ec,2023-08-18,2023-08-18
sh,2023-09-15,2023-09-15
px,2023-09-15,2023-09-15
pr,2024-08-30,2024-08-30
lg,2024-11-18,2024-11-18
ps,2024-12-26,2024-12-26
ad,2025-06-10,2025-06-10
bz,2025-07-08,2025-07-08
pl,2025-07-22,2025-07-22
op,2025-09-10,2025-09-10
l_f,2025-10-29,2025-10-29
pp_f,2025-10-29,2025-10-29
v_f,2025-10-29,2025-10-29
pd,2025-11-27,2025-11-27
pt,2025-11-27,2025-11-27
